controller_path,module,class_route_prefix,route_count,route_names
"Maintainers/Budget/BudgetFunderFooterController.php","Maintainers/Budget","/maintainers/budget/budget-funder-footer",6,"app_maintainers_budget_budget_funder_footer_index;app_maintainers_budget_budget_funder_footer_create;app_maintainers_budget_budget_funder_footer_edit;app_maintainers_budget_budget_funder_footer_delete;app_maintainers_budget_budget_funder_footer_export;presupuestos_pie_financiador_"
"Maintainers/Clinical/DiagnosisByPathologyController.php","Maintainers/Clinical","/maintainers/clinical/diagnosis-by-pathology",6,"app_maintainers_clinical_diagnosis_by_pathology_index;app_maintainers_clinical_diagnosis_by_pathology_create;app_maintainers_clinical_diagnosis_by_pathology_edit;app_maintainers_clinical_diagnosis_by_pathology_delete;app_maintainers_clinical_diagnosis_by_pathology_export;diagnosticos_patologia_"
"Maintainers/Clinical/DiagnosisController.php","Maintainers/Clinical","/maintainers/clinical/diagnosis",6,"app_maintainers_clinical_diagnosis_index;app_maintainers_clinical_diagnosis_create;app_maintainers_clinical_diagnosis_edit;app_maintainers_clinical_diagnosis_delete;app_maintainers_clinical_diagnosis_export;diagnosticos_"
"Maintainers/Clinical/DiagnosisStatusController.php","Maintainers/Clinical","/maintainers/clinical/diagnosis-status",6,"app_maintainers_clinical_diagnosis_status_index;app_maintainers_clinical_diagnosis_status_create;app_maintainers_clinical_diagnosis_status_edit;app_maintainers_clinical_diagnosis_status_delete;app_maintainers_clinical_diagnosis_status_export;estados_diagnostico_"
"Maintainers/Clinical/ExamGroupController.php","Maintainers/Clinical","/maintainers/clinical/exam-group",6,"app_maintainers_clinical_exam_group_index;app_maintainers_clinical_exam_group_create;app_maintainers_clinical_exam_group_edit;app_maintainers_clinical_exam_group_delete;app_maintainers_clinical_exam_group_export;agrupaciones_examen_"
"Maintainers/Clinical/ExamServiceController.php","Maintainers/Clinical","/maintainers/clinical/exam-service",6,"app_maintainers_clinical_exam_service_index;app_maintainers_clinical_exam_service_create;app_maintainers_clinical_exam_service_edit;app_maintainers_clinical_exam_service_delete;app_maintainers_clinical_exam_service_export;examenes_prestacion_"
"Maintainers/Clinical/ExamServiceTypeController.php","Maintainers/Clinical","/maintainers/clinical/exam-service-type",6,"app_maintainers_clinical_exam_service_type_index;app_maintainers_clinical_exam_service_type_create;app_maintainers_clinical_exam_service_type_edit;app_maintainers_clinical_exam_service_type_delete;app_maintainers_clinical_exam_service_type_export;tipos_prestacion_examen_"
"Maintainers/Clinical/ImmunotherapyDiagnosisController.php","Maintainers/Clinical","/maintainers/clinical/immunotherapy-diagnosis",6,"app_maintainers_clinical_immunotherapy_diagnosis_index;app_maintainers_clinical_immunotherapy_diagnosis_create;app_maintainers_clinical_immunotherapy_diagnosis_edit;app_maintainers_clinical_immunotherapy_diagnosis_delete;app_maintainers_clinical_immunotherapy_diagnosis_export;diagnosticos_inmunoterapia_"
"Maintainers/Clinical/MedicalHistoryController.php","Maintainers/Clinical","/maintainers/clinical/medical-history",6,"app_maintainers_clinical_medical_history_index;app_maintainers_clinical_medical_history_create;app_maintainers_clinical_medical_history_edit;app_maintainers_clinical_medical_history_delete;app_maintainers_clinical_medical_history_export;antecedentes_medicos_"
"Maintainers/Clinical/MedicalHistoryTypeController.php","Maintainers/Clinical","/maintainers/clinical/medical-history-type",6,"app_maintainers_clinical_medical_history_type_index;app_maintainers_clinical_medical_history_type_create;app_maintainers_clinical_medical_history_type_edit;app_maintainers_clinical_medical_history_type_delete;app_maintainers_clinical_medical_history_type_export;tipos_antecedentes_"
